customer_id,product_id,purchase_count
00046a560d407e99b969756e0b10f282,ba9f160a6ae1c23f25d690fd06fe4fd8,1
002834b4d901534f48d9e9a72047b288,5cd47d379b62715339c690e8ffe65df4,1
0028ff36263a86bf679df7c863a0a0ba,685919d3ededc26c0ec078b32241025a,1
002f90a6eb386bc43bc9ba200db31a89,ed5f0d58e27cf65a07283c251747936f,1
002f90a6eb386bc43bc9ba200db31a89,f5068d43799fc3243cf62b290d885d3e,1
003536ce5e18f1d12b9bf76932f8a6b1,f4685661dba7a38783007afb3e5fe8ac,1
0051337a96842850e1ec728dd158f4b3,2653c1a28e65f36161bcc73f0ca52727,1
00796be07bfc87dad2e31ef15490a718,23ab7bb9eac81e85ec43ed71064cf7ce,1
00796be07bfc87dad2e31ef15490a718,477aa9a85d7002688bae2cbbd93198f8,1
00796be07bfc87dad2e31ef15490a718,99c88c191bbed92f5be4ca3b00eb1a42,1
007b7f04a35e02745c23ea706492ca20,7868a64aa111bbb4f41f8e1146c0becb,1
0088395699ea0fcd459bfbef084997db,7ca5f56188492e30c50ba64de188aae7,1
0096dd625383caa8afe2c028018bf4ce,13db47eae724e2848e12b71a617a3a41,1
00bf225ae2b2d6a141e31acf971c4a03,886208eeba914fad42127271385d66f0,1
00c2781c163b9f057924ed8c45c724d4,1558f7b0a51472d4c2af9153a2255beb,1
00c2781c163b9f057924ed8c45c724d4,e83e5f5ff7ef69f7a09c848795df56a7,1
00cef6d9683eaa39aaf401e3b02bdbca,f1c7f353075ce59d8a6f3cf58f419c9c,1
00f5111aa1572c08c765f48e20edf87b,fd28b464cf1660a67606f7b48c8c38c6,1
00f539ee95c97870a2a4f261a2d96ba4,9a63d4ef456702710823c21b8cca0332,1
010583f85dd55d32a6db1068f58ca6f1,3c4223262d31fa35043380da246fb0fa,1
0107ed88ec010416e20cacf67d2c905c,1612209b0b37fbe80e1e8e1b7d19ca1d,1
01208d73b8f2d0e10347aae1242a12fa,c2af5a088a7027f1efe72f4507fd2fbc,1
012ca3bed937a20fa19642e8e53d831c,c857b96593773e940454e76efa8eabb3,1
012ca3bed937a20fa19642e8e53d831c,d9ee0c2943c9663aef6a2bc0411cbc14,1
013e49bb711629177d848e409b7566c5,10dd77710da08ea43018cb3b4cedff92,1
